Full Farm CSA,,,,,,,
Profit and Loss,,,,,,,
"January 1-June 30, 2026",,,,,,,

,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Total
Income,,,,,,,
Crop Sales,450.15,141.50,413.02,587.21,546.80,961.10,"3,099.78"
Farmily Grocery Sales,500.00,500.00,500.00,500.00,500.00,500.00,"3,000.00"
Interest - Income,215.85,195.42,312.69,206.54,208.64,175.07,"1,314.21"
Member Payments,"63,682.38","52,044.18","60,724.56","56,532.38","59,315.86","59,629.61","351,928.97"
Rental Income,295.00,295.00,295.00,295.00,295.00,295.00,"1,770.00"
Stripe Income Website Sales,0.67,0.67,23.69,41.99,56.16,86.78,209.96
Total for Income,"65,144.05","53,176.77","62,268.96","58,163.12","60,922.46","61,647.56","$361,322.92"
Cost of Goods Sold,,,,,,,
Product Purchases,"58,911.04","39,846.62","32,633.21","47,913.18","42,500.92","42,205.04","264,010.01"
Product SWAG for resale,,,,,"1,073.09",,"1,073.09"
Total for Product Purchases,"58,911.04","39,846.62","32,633.21","47,913.18","43,574.01","42,205.04","$265,083.10"
Total for Cost of Goods Sold,"58,911.04","39,846.62","32,633.21","47,913.18","43,574.01","42,205.04","$265,083.10"
Gross Profit,"6,233.01","13,330.15","29,635.75","10,249.94","17,348.45","19,442.52","$96,239.82"
Expenses,,,,,,,
Advertising & Marketing,785.15,219.77,"3,760.25","1,847.23","1,241.59","1,449.48","9,303.47"
Bank Charges & Fees,95.00,,,,,,95.00
Delivery Fees,196.00,315.70,354.10,328.30,226.00,392.70,"1,812.80"
Dues & Subscriptions,200.00,,,,,,200.00
Employee Bonus,,,200.00,,,,200.00
Insurance,,,"2,173.65",,,,"2,173.65"
Lease Payments,833.33,833.33,833.33,833.33,833.33,833.33,"4,999.98"
Legal & Professional Services,500.00,500.00,500.00,500.00,750.00,750.00,"3,500.00"
Office Supplies & Software,74.20,99.40,58.41,195.37,65.80,"3,724.80","4,217.98"
Other Business Expenses,,100.00,,,,,100.00
Payroll Expenses,55.00,55.00,55.00,79.00,,45.00,289.00
Employee Wages,,"2,000.00","2,000.00",,"3,321.22","1,660.61","8,981.83"
Employer Taxes,,184.56,184.56,,"1,047.90",517.95,"1,934.97"
Payroll - Labor,"10,274.54","11,948.02","11,601.38","13,279.40","13,485.38","15,524.67","76,113.39"
Payroll Fees,,,,,76.00,,76.00
Total for Payroll Expenses,"10,329.54","14,187.58","13,840.94","13,358.40","17,930.50","17,748.23","$87,395.19"
Reimbursable Expenses (deleted),49.97,,,,,,49.97
Supplies,185.51,339.10,836.95,557.78,467.64,285.94,"2,672.92"
Unapplied Cash Bill Payment Expense,,,,$0.00,,,$0.00
Utilities,482.33,577.33,482.33,482.33,482.33,482.33,"2,988.98"
Virtual Phone System,58.90,58.90,58.90,137.66,68.83,206.49,589.68
Total for Expenses,"13,789.93","17,231.11","23,098.86","18,240.40","22,066.02","25,873.30","$120,299.62"
Net Operating Income,"-7,556.92","-3,900.96","6,536.89","-7,990.46","-4,717.57","-6,430.78","-$24,059.80"
Net Income,"-7,556.92","-3,900.96","6,536.89","-7,990.46","-4,717.57","-6,430.78","-$24,059.80"



"Cash Basis Thursday, July 23, 2026 02:29 AM GMTZ",,,,,,,
